Date,Description,Credit,Debit,Balance
13/12/2023,"Save - Receipt 147234 - From Orange Everyday  ",10000.00,,35378.26
07/12/2023,"saving - Receipt 548511 - From Orange Everyday  ",5000.00,,25378.26
07/12/2023,"Saving - Receipt 448082 - From Orange Everyday  ",916.90,,20378.26
06/12/2023,"Save - Receipt 441121 - From Orange Everyday  ",5000.00,,19461.36
06/12/2023,"Savings - Receipt 334531 - From Orange Everyday  ",160.89,,14461.36
05/12/2023,"Savings - Receipt 107673 - From Orange Everyday  ",4500.00,,14300.47
04/12/2023,"savings - Receipt 42147 - From Orange Everyday  ",3000.00,,9800.47
30/11/2023,Interest Credit,0.47,,6800.47
29/11/2023,"trsfr - Receipt 890236 - From Orange Everyday  ",1800.00,,6800.00
28/11/2023,"Internal Transfer - Receipt 251527 - From Orange Everyday  ",5000.00,,5000.00
14/11/2023,"AMP - Receipt 203133 - To Orange Everyday  ",,-1015.30,0.00
02/11/2023,TUCKFIELD CONVEYANCING PTY LTD Refund... - Osko Payment - Receipt 423793 Refund Water Bond  - Ref Refund Water Bond,464.25,,1015.30
01/11/2023,"crAMPs - Receipt 620308 - To Orange Everyday  ",,-4098.80,551.05
01/11/2023,"Visa - Receipt 834492 - To Orange Everyday  ",,-1050.00,4649.85
01/11/2023,"Internal Transfer - Receipt 683805 - From Orange Everyday  ",900.00,,5699.85
01/11/2023,"Internal Transfer - Receipt 626380 - To Orange Everyday  ",,-1000.00,4799.85
01/11/2023,"Internal Transfer - Receipt 567582 - To Orange Everyday  ",,-1000.00,5799.85
31/10/2023,Interest Credit,0.10,,6799.85
31/10/2023,"Internal Transfer - Receipt 486503 - From Orange Everyday  ",1000.00,,6799.75
31/10/2023,"Internal Transfer - Receipt 417017 - To Orange Everyday  ",,-1000.00,5799.75
31/10/2023,"Internal Transfer - Receipt 630565 - To Orange Everyday  ",,-100.00,6799.75
31/10/2023,"Internal Transfer - Receipt 516843 - To Orange Everyday  ",,-50.00,6899.75
31/10/2023,"Internal Transfer - Receipt 420826 - To Orange Everyday  ",,-5.00,6949.75
31/10/2023,PEXA230555373D17 Settlement Funds - Receipt 137274 - From  033002 853577,6950.53,,6954.75
16/10/2023,"Trsfr - Receipt 641664 - From Orange Everyday  ",3.22,,4.22
16/10/2023,"Internal Transfer - Receipt 576180 - From Orange Everyday  ",1.00,,1.00
05/12/2022,"trsfr - Receipt 533898 - To Orange Everyday  ",,-25.58,0.00
30/11/2022,Interest Credit,5.00,,25.58
11/11/2022,"AMP - Receipt 128497 - To Orange Everyday  ",,-800.00,20.58
11/11/2022,"Steve - Receipt 867934 - To Orange Everyday  ",,-100.00,820.58
10/11/2022,"AMP - Receipt 262177 - To Orange Everyday  ",,-19000.00,920.58
09/11/2022,"AMP - Receipt 125159 - To Orange Everyday  ",,-19000.00,19920.58
07/11/2022,"Internal Transfer - Receipt 60314 - To Orange Everyday  ",,-4000.00,38920.58
07/11/2022,"AMP - Receipt 645410 - To Orange Everyday  ",,-15000.00,42920.58
06/11/2022,"Maxi - Receipt 259444 - From Orange Everyday  ",1000.00,,57920.58
06/11/2022,"Internal Transfer - Receipt 201405 - To Orange Everyday  ",,-5000.00,56920.58
06/11/2022,"Internal Transfer - Receipt 165972 - To Orange Everyday  ",,-5000.00,61920.58
06/11/2022,"Internal Transfer - Receipt 114171 - To Orange Everyday  ",,-5000.00,66920.58
06/11/2022,"amp - Receipt 389133 - To Orange Everyday  ",,-5000.00,71920.58
05/11/2022,"Internal Transfer - Receipt 259405 - To Orange Everyday  ",,-19995.00,76920.58
05/11/2022,"putin back - Receipt 73346 - To Orange Everyday  ",,-5.00,96915.58
05/11/2022,"Pukin Sally - Receipt 825706 - From Orange Everyday  ",855.83,,96920.58
05/11/2022,"Punk Tarts - Receipt 500625 - To Orange Everyday  ",,-2000.00,96064.75
04/11/2022,"WADHAM, JAMES DO ING - Receipt 121868 - From  939200 733644908",93057.75,,98064.75
04/11/2022,"WADHAM, JAMES DO ing - Receipt 149541 - From  939200 733644908",5000.00,,5007.00
04/11/2022,"Internal Transfer - Receipt 759249 - From Orange Everyday  ",7.00,,7.00
02/11/2022,"Lube - Receipt 503939 - To Orange Everyday  ",,-10.00,0.00
02/11/2022,"Card test - Receipt 576523 - To Orange Everyday  ",,-10.00,10.00
02/11/2022,"WADHAM, JAMES DO Card Test - Receipt 180357 - From  939200 733644908",19.00,,20.00
01/11/2022,"WADHAM, JAMES DO INGTest - Receipt 116161 - From  939200 733644908",1.00,,1.00
20/10/2021,"Puma Pie - Receipt 342725 - To Orange Everyday  ",,-9.03,0.00
30/11/2020,Bonus Interest Credit - Receipt 936277,8.44,,9.03
30/11/2020,Interest Credit,0.59,,0.59
16/11/2020,"Internal Transfer - Receipt 570716 - To Orange Everyday  ",,-2712.22,0.00
08/11/2020,"Sue Bell Sue Bell lawns - Osko Payment - Receipt 506004 ",104.00,,2712.22
05/11/2020,"BSA - Receipt 522755 - To Orange Everyday  ",,-20000.00,2608.22
04/11/2020,"bsa - Receipt 34751 - To Orange Everyday  ",,-20000.00,22608.22
03/11/2020,"BSA - Receipt 57153 - To Orange Everyday  ",,-20000.00,42608.22
02/11/2020,"BankSA - Receipt 167774 - To Orange Everyday  ",,-1000.00,62608.22
31/10/2020,Interest Credit,4.33,,63608.22
31/10/2020,"water - Receipt 335123 - To Orange Everyday  ",,-300.00,63603.89
27/10/2020,"topup - Receipt 732590 - To Orange Everyday  ",,-56.00,63903.89
23/10/2020,"Psyc - Receipt 508415 - To Orange Everyday  ",,-200.00,63959.89
22/10/2020,"St Clare Strata - Receipt 444249 - To Orange Everyday  ",,-907.09,64159.89
22/10/2020,"trsfr - Receipt 25888 - From Orange Everyday  ",2000.00,,65066.98
13/10/2020,"trsfr - Receipt 332905 - From Orange Everyday  ",10000.00,,63066.98
09/10/2020,"trsfr - Receipt 696228 - From Orange Everyday  ",20000.00,,53066.98
07/10/2020,"Internal Transfer - Receipt 496373 - To Orange Everyday  ",,-2600.00,33066.98
06/10/2020,"trsfr - Receipt 663664 - From Orange Everyday  ",3575.43,,35666.98
06/10/2020,"trsfr - Receipt 78374 - From Orange Everyday  ",20000.00,,32091.55
30/09/2020,Interest Credit,0.03,,12091.55
30/09/2020,"Languid Possum Dung Filter Paper - Receipt 36297 - From Orange Everyday  ",12091.52,,12091.52
24/04/2020,"Internal Transfer - Receipt 197481 - To Orange Everyday  ",,-0.01,0.00
29/02/2020,Interest Credit,0.01,,0.01
19/02/2020,"trsf - Receipt 558888 - To Orange Everyday  ",,-105.05,0.00
31/01/2020,Interest Credit,0.02,,105.05
31/12/2019,Interest Credit,0.02,,105.03
30/11/2019,Interest Credit,0.01,,105.01
17/11/2019,"MS Bronwyn Korendyk  - Deposit - Receipt 708348 ",105.00,,105.00
02/08/2019,"PigsBloodSoup - Receipt 646727 - To Orange Everyday  ",,-9.84,0.00
30/06/2019,Interest Credit,9.84,,9.84
21/06/2019,"Offset - Receipt 464212 - To Orange Everyday  ",,-6719.39,0.00
19/06/2019,"nabtrade test - Receipt 307182 - To Orange Everyday  ",,-1.00,6719.39
19/06/2019,"Stopel Offset test - Receipt 346978 - To Orange Everyday  ",,-1.00,6720.39
19/06/2019,"Boord Offset test - Receipt 155469 - To Orange Everyday  ",,-1.00,6721.39
18/06/2019,"put back - Receipt 779046 - From Orange Everyday  ",2.20,,6722.39
18/06/2019,"loans test - Receipt 689384 - To Orange Everyday  ",,-2.00,6720.19
13/06/2019,"Pasty - Receipt 346844 - To Orange Everyday  ",,-5.00,6722.19
11/06/2019,JAMES WADHAM     Max - Receipt 114717 - From  105001 144423040,1000.00,,6727.19
11/06/2019,"putin it back - Receipt 265134 - From Orange Everyday  ",3.50,,5727.19
06/06/2019,"Cherries - Receipt 789010 - To Orange Everyday  ",,-5.00,5723.69
06/06/2019,"upyabum - Receipt 735467 - From Orange Everyday  ",5728.69,,5728.69
06/06/2019,"Internal Transfer - Receipt 67095 - To Orange Everyday  ",,-9979.69,0.00
06/06/2019,"cokeroach killer - Receipt 731967 - To Orange Everyday  ",,-5.00,9979.69
05/06/2019,"House - Receipt 451500 - To Orange Everyday  ",,-55000.00,9984.69
03/06/2019,"pasty - Receipt 49731 - To Orange Everyday  ",,-5.00,64984.69
31/05/2019,Interest Credit,41.48,,64989.69
17/05/2019,"Lemons - Receipt 705758 - From Orange Everyday  ",12.21,,64948.21
17/05/2019,"Roo - Receipt 354155 - To Orange Everyday  ",,-15.00,64936.00
14/05/2019,"Dinner - Receipt 696982 - To Orange Everyday  ",,-50.00,64951.00
09/05/2019,RAMS-00530530    Stopel - Receipt 128868 - From  032797 36102,50000.00,,65001.00
08/05/2019,RAMS-00530530    House Money - Receipt 120978 - From  032797 36102,10000.00,,15001.00
07/05/2019,RAMS-00530530    House Purchase 1 - Receipt 108050 - From  032797 36102,5000.00,,5001.00
06/05/2019,RAMS-00530530    Test - Receipt 142507 - From  032797 36102,1.00,,1.00
